audit_tags,code,expire_date,fill_reason,order_id,parameter_set_id,setup_id,signal_date,status,tail_path
[],600105,2025-09-19,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-04e681a8f1e686705868,s6ps-302e3a382d956a99,s6setup-4e2ff7195ca6da5970e7,2025-09-16,CANCELLED,ORIGINAL
[],600111,2025-08-20,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-70e33ef413972ddede91,s6ps-302e3a382d956a99,s6setup-dda159bacb87212a4c9d,2025-08-15,CANCELLED,ORIGINAL
[],600113,2025-09-15,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-8104832ccb8b76d293b6,s6ps-302e3a382d956a99,s6setup-916872a47211c5f1a806,2025-09-10,CANCELLED,BOX
[],600114,2025-10-14,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-71b929721e3ad0e9114e,s6ps-302e3a382d956a99,s6setup-188dd61e30dad51706d0,2025-10-09,CANCELLED,BOX
[],600160,2024-05-20,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-da4b306c205dcb0393f6,s6ps-302e3a382d956a99,s6setup-7dae58f95b6b4d9a735a,2024-05-15,CANCELLED,ORIGINAL
[],600160,2025-09-16,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-c4def205e1ed177d6521,s6ps-302e3a382d956a99,s6setup-b0259ab1b9fdadabdfcf,2025-09-11,CANCELLED,ORIGINAL
[],600178,2025-07-17,FILLED_FROZEN_PLAN,s6order-f21f93c50d884ee795cc,s6ps-302e3a382d956a99,s6setup-c856df5ef579bf7f6ea2,2025-07-14,FILLED,BOX
[],600183,2025-02-18,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-58f0a0da9c24afd91cff,s6ps-302e3a382d956a99,s6setup-832823a398861e1e8df8,2025-02-13,CANCELLED,ORIGINAL
[],600208,2025-09-08,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-d21d06e95bc27516f0f0,s6ps-302e3a382d956a99,s6setup-0ae7fb503de1b253a957,2025-09-03,CANCELLED,ORIGINAL
[],600353,2025-07-02,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-e352909f5f7702c00d25,s6ps-302e3a382d956a99,s6setup-1209f91c97eda70c79f0,2025-06-27,CANCELLED,ORIGINAL
[],600489,2025-10-13,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-ccd0a115f7df9770715c,s6ps-302e3a382d956a99,s6setup-f519bf7469a11980a0d5,2025-09-30,CANCELLED,ORIGINAL
[],600550,2025-06-13,FILLED_FROZEN_PLAN,s6order-ad4cc656b309a76e4787,s6ps-302e3a382d956a99,s6setup-ecc960741dc6a8eb306d,2025-06-10,FILLED,ORIGINAL
[],600570,2025-07-22,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-da6a441bad4a4e981384,s6ps-302e3a382d956a99,s6setup-55b2b162e36dd510d64d,2025-07-17,CANCELLED,ORIGINAL
[],600601,2024-11-13,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-9efac43906fa89f47d24,s6ps-302e3a382d956a99,s6setup-f281673e62393686c537,2024-11-08,CANCELLED,ORIGINAL
[],600601,2024-11-14,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-5cb0276f72fbeda976c4,s6ps-302e3a382d956a99,s6setup-9ceee340b76fb6f56b7d,2024-11-11,CANCELLED,ORIGINAL
[],600601,2025-02-17,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-08fecb845e08c6a6f8c7,s6ps-302e3a382d956a99,s6setup-cc1d51b929d535beb3b2,2025-02-12,CANCELLED,ORIGINAL
[],600660,2025-09-16,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-e5815b4d840bdab6a317,s6ps-302e3a382d956a99,s6setup-8285309b61cb1f1643c8,2025-09-11,CANCELLED,ORIGINAL
[],600660,2025-09-18,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-0c663ba9b6e40fd6a2db,s6ps-302e3a382d956a99,s6setup-0784bce82fb7730e36a7,2025-09-15,CANCELLED,ORIGINAL
[],600660,2025-09-19,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-56e1b040768f72879c02,s6ps-302e3a382d956a99,s6setup-f8a342e56ca147e8e7cb,2025-09-16,CANCELLED,BOTH
[],600660,2025-09-22,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-aef57744ea7c710779af,s6ps-302e3a382d956a99,s6setup-8f823c12a7c6507cfb0b,2025-09-17,CANCELLED,ORIGINAL
[],600666,2025-07-22,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-47bb50c0146936e1e115,s6ps-302e3a382d956a99,s6setup-4a1258ac2843d19b3f32,2025-07-17,CANCELLED,BOTH
[],600698,2025-08-01,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-bb87854483a3e5b44d2e,s6ps-302e3a382d956a99,s6setup-6a8846c7107802b3a390,2025-07-29,CANCELLED,ORIGINAL
[],600751,2025-08-08,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-2ce7d8bde5c13d5c3a97,s6ps-302e3a382d956a99,s6setup-a46c6810f1291caf8dfa,2025-08-05,CANCELLED,ORIGINAL
[],600776,2024-12-16,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-769899c08da4766ccc76,s6ps-302e3a382d956a99,s6setup-a21102938a02a54b941a,2024-12-11,CANCELLED,ORIGINAL
[],600875,2025-08-13,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-954974e4a6703fab5797,s6ps-302e3a382d956a99,s6setup-5331b4669b1d851cef77,2025-08-08,CANCELLED,ORIGINAL
[],600875,2025-08-14,FILLED_FROZEN_PLAN,s6order-e3ec61c2af2e41046921,s6ps-302e3a382d956a99,s6setup-fdc17521e378be474b4a,2025-08-11,FILLED,ORIGINAL
[],600887,2025-04-23,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-a5748502081e6e0ab72d,s6ps-302e3a382d956a99,s6setup-f296dfc9ec3dc9491c7a,2025-04-18,CANCELLED,BOTH
[],600990,2024-11-14,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-38e8b4173376e699f462,s6ps-302e3a382d956a99,s6setup-f60a3a82f18a788290ae,2024-11-11,CANCELLED,ORIGINAL
[],601138,2025-10-14,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-32ce9169d9d77ef954a2,s6ps-302e3a382d956a99,s6setup-549b8b40985a235e30cd,2025-10-09,CANCELLED,ORIGINAL
[],601162,2025-07-24,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-9e9c5f0b0a5fe6f86920,s6ps-302e3a382d956a99,s6setup-d38b0f68ca0e92fc6098,2025-07-21,CANCELLED,BOX
[],601168,2024-04-08,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-c37cac037ffd79cd650e,s6ps-302e3a382d956a99,s6setup-ce8f204fe71670cd5a45,2024-04-01,CANCELLED,ORIGINAL
[],601212,2025-11-05,FILLED_FROZEN_PLAN,s6order-bdb3082c10e1f7cee77e,s6ps-302e3a382d956a99,s6setup-913c0c634718e28e471d,2025-10-31,FILLED,ORIGINAL
[],601601,2025-06-16,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-7c4387f04d13dd65257d,s6ps-302e3a382d956a99,s6setup-0f330a1dbec3f2101293,2025-06-11,CANCELLED,ORIGINAL
[],601615,2024-12-17,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-c2fdd84baea1c7405b08,s6ps-302e3a382d956a99,s6setup-8d97ee6c589ea1ecf708,2024-12-12,CANCELLED,ORIGINAL
[],601728,2025-03-12,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-728286aecd9fcf7cae75,s6ps-302e3a382d956a99,s6setup-9b818eb34f63f34de8af,2025-03-07,CANCELLED,ORIGINAL
[],601899,2025-11-03,CANCEL_OPEN_ABOVE_BUY_ZONE,s6order-1f4f2ed3189e344c1171,s6ps-302e3a382d956a99,s6setup-4558a4761f57a6ac7229,2025-10-29,CANCELLED,ORIGINAL
