evaluation_date,code,name,setup_id,candidate_type,candidate_event_id,candidate_event_sequence,first_candidate_date,first_executable_date,is_first_candidate_event,is_first_executable_event,entry_archetype
2024-10-29,688658,悦康药业,s6setup-1597925ea0841ae92584,KEY_CANDIDATE,s6event-7b6d8f049b22a60f029d,2,2024-10-28,2024-10-28,False,False,SUPPORT_PULLBACK
2024-10-30,300293,蓝英装备,s6setup-2f57feeea609bcb0e16b,WATCH_CANDIDATE,s6event-65b03df8846380bd20fc,3,2024-10-28,2024-10-29,False,False,SUPPORT_PULLBACK
2024-10-30,300310,宜通世纪,s6setup-bad2851bb68ffb07f8d7,WATCH_CANDIDATE,s6event-9001d46f047d295104e8,1,2024-10-30,,True,False,NONE
2024-10-30,300433,蓝思科技,s6setup-ce55436529fac87c0148,WATCH_CANDIDATE,s6event-9fc9833e4a2aefe9d913,2,2024-10-29,,False,False,NONE
2024-10-30,688658,悦康药业,s6setup-1597925ea0841ae92584,KEY_CANDIDATE,s6event-7b6d8f049b22a60f029d,3,2024-10-28,2024-10-28,False,False,SUPPORT_PULLBACK
2024-10-31,000768,中航西飞,s6setup-bd4b5f1a5e26f455d992,KEY_CANDIDATE,s6event-421adacf093169439f79,1,2024-10-31,2024-10-31,True,True,SUPPORT_PULLBACK
2024-10-31,300139,晓程科技,s6setup-03ac53b95d0ed4d67393,KEY_CANDIDATE,s6event-69df3a7c103f9a68ab46,1,2024-10-31,2024-10-31,True,True,SUPPORT_PULLBACK
2024-10-31,300293,蓝英装备,s6setup-2f57feeea609bcb0e16b,WATCH_CANDIDATE,s6event-65b03df8846380bd20fc,4,2024-10-28,2024-10-29,False,False,SUPPORT_PULLBACK
2024-10-31,300433,蓝思科技,s6setup-ce55436529fac87c0148,KEY_CANDIDATE,s6event-9fc9833e4a2aefe9d913,3,2024-10-29,,False,False,WAIT_BREAKOUT
2024-10-31,300469,信息发展,s6setup-972ecff6bc6b3c765fc4,WATCH_CANDIDATE,s6event-d9bc89faedf09307f2bc,1,2024-10-31,2024-10-31,True,True,SUPPORT_PULLBACK
2024-10-31,600415,小商品城,s6setup-972b529ace9e37bf0db0,WATCH_CANDIDATE,s6event-f9f7a9ec98b9e48f99c9,1,2024-10-31,2024-10-31,True,True,SUPPORT_PULLBACK
2024-10-31,688658,悦康药业,s6setup-ad8817890ee0b72512c3,KEY_CANDIDATE,s6event-7b6d8f049b22a60f029d,4,2024-10-28,2024-10-28,False,False,SUPPORT_PULLBACK
2024-11-01,300139,晓程科技,s6setup-06fe080981f712a2689e,WATCH_CANDIDATE,s6event-69df3a7c103f9a68ab46,2,2024-10-31,2024-10-31,False,False,SUPPORT_PULLBACK
2024-11-01,300293,蓝英装备,s6setup-2f57feeea609bcb0e16b,WATCH_CANDIDATE,s6event-65b03df8846380bd20fc,5,2024-10-28,2024-10-29,False,False,SUPPORT_PULLBACK
2024-11-01,600326,西藏天路,s6setup-f5d42d94a6ae9189bdc1,WATCH_CANDIDATE,s6event-2f56f6cb87bd3fbcfcc4,1,2024-11-01,2024-11-01,True,True,SUPPORT_PULLBACK
2024-11-04,300394,天孚通信,s6setup-a0e81f7cbc75b159986b,WATCH_CANDIDATE,s6event-d0d09a173cec791a8828,1,2024-11-04,,True,False,NONE
2024-11-05,300394,天孚通信,s6setup-8ead4a2d70dd6c4cbec2,WATCH_CANDIDATE,s6event-d0d09a173cec791a8828,2,2024-11-04,,False,False,NONE
2024-11-05,603606,东方电缆,s6setup-39fd8e4c4023e6fc31b9,WATCH_CANDIDATE,s6event-7a658b7f65627bf3b1aa,1,2024-11-05,,True,False,NONE
2024-11-06,002130,沃尔核材,s6setup-b3bfe3b0c2577df77662,WATCH_CANDIDATE,s6event-44ba49386672a162979d,1,2024-11-06,2024-11-06,True,True,SUPPORT_PULLBACK
2024-11-06,603893,瑞芯微,s6setup-5b52a644932ad736476a,WATCH_CANDIDATE,s6event-e8e2c08883a4e9b3aadb,1,2024-11-06,,True,False,WAIT_BREAKOUT
2024-11-07,002130,沃尔核材,s6setup-601520cd7eade1a86625,WATCH_CANDIDATE,s6event-44ba49386672a162979d,2,2024-11-06,2024-11-06,False,False,SUPPORT_PULLBACK
