experiment_id,evaluation_date,code,name,setup_id,candidate_type,entry_timing_state,entry_timing_executable,entry_timing_evidence_count,probability_rr_status,probability_rr_sample_count,probability_rr_target_1_hit_probability,probability_rr_target_2_hit_probability,probability_adjusted_r
S6_ENTRY_E0_BASELINE,2024-11-11,300061,旗天科技,s6setup-da799d9c466c9a1bd1c9,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,5,RELIABLE,250,0.596,0.28,0.67784
S6_ENTRY_E0_BASELINE,2024-11-11,300067,安诺其,s6setup-27e1e1132118e57a2304,KEY_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-11,300284,苏交科,s6setup-c755ba4efb03e1e282b2,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,5,RELIABLE,250,0.352,0.184,0.442142
S6_ENTRY_E0_BASELINE,2024-11-11,300394,天孚通信,s6setup-8ead4a2d70dd6c4cbec2,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-11,600601,方正科技,s6setup-69badbc1a77b36f76c90,WATCH_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-11,600990,四创电子,s6setup-f60a3a82f18a788290ae,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,5,RELIABLE,250,0.568,0.244,0.597218
S6_ENTRY_E0_BASELINE,2024-11-11,603486,科沃斯,s6setup-6898d3a1d4a6f35be2f0,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,5,RELIABLE,250,0.412,0.28,0.201893
S6_ENTRY_E0_BASELINE,2024-11-11,603893,瑞芯微,s6setup-a63db8c9eb7d11d047d3,KEY_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-12,300046,台基股份,s6setup-80d778573b45a6448eaf,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,5,RELIABLE,250,0.344,0.152,0.093026
S6_ENTRY_E0_BASELINE,2024-11-12,300102,乾照光电,s6setup-5c64756c89da797ce137,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-12,300292,吴通控股,s6setup-01f82f10d02fa98a0dc6,KEY_CANDIDATE,SUPPORT_FORMING,False,2,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-12,300397,天和防务,s6setup-d1889779ea60fdef1231,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,3,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-12,603893,瑞芯微,s6setup-a63db8c9eb7d11d047d3,KEY_CANDIDATE,NOT_APPLICABLE,False,0,NOT_EVALUATED,0,0.0,0.0,0.0
S6_ENTRY_E0_BASELINE,2024-11-13,300008,天海防务,s6setup-6690c342fe613eb7b44d,WATCH_CANDIDATE,SUPPORT_CONFIRMED,True,5,RELIABLE,250,0.572,0.184,0.276564
S6_ENTRY_E0_BASELINE,2024-11-13,300046,台基股份,s6setup-80d778573b45a6448eaf,KEY_CANDIDATE,SUPPORT_CONFIRMED,True,4,RELIABLE,250,0.312,0.156,0.060582
