code,name,candidate_type,classification,signal_date,entry_date,entry_price,signal_close,total_score,support_status,main_support_ma,main_support_distance,strength_trigger,high_trigger,max_drawdown,return_5d,return_10d,return_20d,exit_date_5d,exit_date_10d,exit_date_20d,risk_tags,warn_tags
688004,博汇科技,WATCH_CANDIDATE,observe,2025-08-14,2025-08-15,24.53,24.65,71.49,SPRINT_MA20_SUPPORT,MA20,0.059817,ret_20d,new_120d_high,-0.078679,0.028129,0.033021,0.050958,2025-08-21,2025-08-28,2025-09-11,,HIGH_5D_VOLATILITY
688277,天智航,WATCH_CANDIDATE,observe,2025-08-14,2025-08-15,18.53,18.41,77.83,SPRINT_MA20_SUPPORT,MA20,0.045057,ret_20d,new_120d_high,-0.094981,0.055586,-0.008095,-0.017809,2025-08-21,2025-08-28,2025-09-11,,
688029,南微医学,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,91.97,91.63,74.18,SPRINT_MA20_SUPPORT,MA20,0.035414,single_day_surge,new_120d_high,-0.078939,-0.024682,-0.065782,-0.030662,2025-08-28,2025-09-04,2025-09-18,,
688039,当虹科技,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,50.27,50.53,82.6,SPRINT_MA20_SUPPORT,MA20,0.028953,ret_20d,new_120d_high,-0.043963,0.208474,-0.022081,0.034414,2025-08-28,2025-09-04,2025-09-18,,
688115,思林杰,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,68.44,68.37,74.53,SPRINT_MA20_SUPPORT,MA20,2.9e-05,single_day_surge,new_120d_high,-0.250438,-0.116598,-0.238311,-0.118644,2025-08-28,2025-09-04,2025-09-18,,
688357,建龙微纳,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,33.25,33.1,67.38,SPRINT_MA20_SUPPORT,MA20,0.013776,single_day_surge,new_120d_high,-0.046316,-0.004812,-0.029173,0.046917,2025-08-28,2025-09-04,2025-09-18,,
688376,美埃科技,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,47.68,47.75,77.21,SPRINT_MA20_SUPPORT,MA20,0.004995,single_day_surge,new_120d_high,-0.059354,0.065646,-0.042576,0.133809,2025-08-28,2025-09-04,2025-09-18,,
688529,豪森智能,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,22.29,22.3,70.12,SPRINT_MA20_SUPPORT,MA20,0.024641,single_day_surge,new_120d_high,-0.127411,-0.044415,-0.11485,-0.052939,2025-08-28,2025-09-04,2025-09-18,,
688697,纽威数控,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,10.75,10.686,67.72,SPRINT_MA20_SUPPORT,MA20,0.020344,single_day_surge,new_120d_high,-0.073116,-0.016651,-0.056465,0.008651,2025-08-28,2025-09-04,2025-09-18,,
688786,悦安新材,WATCH_CANDIDATE,observe,2025-08-21,2025-08-22,22.467,22.308,65.8,SPRINT_MA20_SUPPORT,MA20,0.023749,single_day_surge,new_120d_high,-0.043041,0.000356,-0.030044,-0.00819,2025-08-28,2025-09-04,2025-09-18,,
688199,久日新材,WATCH_CANDIDATE,observe,2025-08-28,2025-08-29,28.58,28.84,72.17,SPRINT_MA20_SUPPORT,MA20,0.059449,single_day_surge,new_120d_high,-0.128761,-0.081875,-0.012246,-0.085374,2025-09-04,2025-09-11,2025-09-25,,
688567,孚能科技,WATCH_CANDIDATE,observe,2025-08-28,2025-08-29,17.13,17.33,71.0,SPRINT_MA20_SUPPORT,MA20,0.003924,single_day_surge,new_120d_high,-0.005838,0.184472,0.191477,0.190893,2025-09-04,2025-09-11,2025-09-25,,
688021,奥福科技,WATCH_CANDIDATE,observe,2025-09-04,2025-09-05,17.85,18.03,60.69,SPRINT_MA50_TESTING,MA50,0.040643,single_day_surge,new_120d_high,-0.053221,0.071709,0.05042,0.040336,2025-09-11,2025-09-18,2025-10-10,,
688301,奕瑞科技,WATCH_CANDIDATE,observe,2025-09-04,2025-09-05,78.846,78.567,75.37,SPRINT_MA20_SUPPORT,MA20,0.031867,ret_20d,new_120d_high,-0.030439,-0.000545,-0.00643,0.039051,2025-09-11,2025-09-18,2025-10-10,,
688370,丛麟科技,WATCH_CANDIDATE,observe,2025-09-04,2025-09-05,27.702,27.942,70.05,SPRINT_MA20_SUPPORT,MA20,0.016302,single_day_surge,new_120d_high,-0.118403,0.042957,-0.112266,-0.007581,2025-09-11,2025-09-18,2025-10-10,,
688484,南芯科技,WATCH_CANDIDATE,observe,2025-09-09,2025-09-10,45.631,45.271,53.11,SPRINT_MA50_TESTING,MA50,0.061613,single_day_surge,new_120d_high,-0.016874,0.044487,0.093577,0.0618,2025-09-16,2025-09-23,2025-10-15,,
000617,中油资本,WATCH_CANDIDATE,observe,2025-09-11,2025-09-12,10.748,11.028,65.76,SPRINT_MA20_SUPPORT,MA20,0.000181,ret_20d,new_120d_high,-0.073502,0.024191,-0.047451,-0.032564,2025-09-18,2025-09-25,2025-10-17,,HIGH_10D_VOLATILITY
601162,天风证券,KEY_CANDIDATE,highlight,2025-09-11,2025-09-12,5.62,5.63,58.44,SPRINT_MA5_SUPPORT,MA5,0.019183,single_day_surge,new_120d_high,-0.097865,0.007117,-0.062278,-0.094306,2025-09-18,2025-09-25,2025-10-17,,
688045,必易微,KEY_CANDIDATE,highlight,2025-09-11,2025-09-12,43.476,43.876,68.86,SPRINT_MA5_SUPPORT,MA5,0.020467,single_day_surge,new_120d_high,-0.044622,0.040712,0.050603,-0.044622,2025-09-18,2025-09-25,2025-10-17,,
688181,八亿时空,KEY_CANDIDATE,highlight,2025-09-11,2025-09-12,37.297,37.267,72.23,SPRINT_MA5_SUPPORT,MA5,0.00746,single_day_surge,new_120d_high,-0.087943,0.055232,0.036464,-0.083921,2025-09-18,2025-09-25,2025-10-17,,
688229,博睿数据,KEY_CANDIDATE,highlight,2025-09-11,2025-09-12,72.78,72.68,72.55,SPRINT_MA5_SUPPORT,MA5,0.014392,ret_50d,new_120d_high,-0.220253,-0.071723,-0.102913,-0.219291,2025-09-18,2025-09-25,2025-10-17,,HIGH_10D_VOLATILITY
688306,均普智能,KEY_CANDIDATE,highlight,2025-09-11,2025-09-12,11.972,11.952,72.58,SPRINT_MA5_SUPPORT,MA5,0.016064,single_day_surge,new_120d_high,-0.023388,0.248079,0.120281,0.013365,2025-09-18,2025-09-25,2025-10-17,,
688526,科前生物,KEY_CANDIDATE,highlight,2025-09-11,2025-09-12,17.76,17.86,70.28,SPRINT_MA5_SUPPORT,MA5,0.01075,single_day_surge,new_120d_high,-0.074324,-0.021959,-0.057432,-0.071509,2025-09-18,2025-09-25,2025-10-17,,
688619,罗普特,WATCH_CANDIDATE,observe,2025-09-11,2025-09-12,16.73,16.46,50.45,SPRINT_MA50_TESTING,MA50,0.059174,single_day_surge,new_120d_high,-0.148834,-0.069337,-0.104603,-0.065152,2025-09-18,2025-09-25,2025-10-17,,
688610,埃科光电,WATCH_CANDIDATE,observe,2025-09-12,2025-09-15,67.46,67.37,72.29,SPRINT_MA20_SUPPORT,MA20,0.040975,ret_20d,new_120d_high,-0.018529,0.034687,0.108953,0.030537,2025-09-19,2025-09-26,2025-10-20,,
688612,威迈斯,WATCH_CANDIDATE,observe,2025-09-12,2025-09-15,39.062,38.992,70.67,SPRINT_MA20_SUPPORT,MA20,0.03393,ret_50d,new_120d_high,-0.040449,-0.005888,-0.001536,-0.0192,2025-09-19,2025-09-26,2025-10-20,,
688063,派能科技,WATCH_CANDIDATE,observe,2025-09-18,2025-09-19,58.109,58.339,74.88,SPRINT_MA20_SUPPORT,MA20,0.023783,ret_20d,new_120d_high,-0.029772,0.024437,0.17949,0.117538,2025-09-25,2025-10-10,2025-10-24,,
688176,亚虹医药,WATCH_CANDIDATE,observe,2025-09-18,2025-09-19,11.2,11.13,48.16,SPRINT_MA50_TESTING,MA50,0.056819,single_day_surge,new_120d_high,-0.135714,-0.035714,-0.091964,-0.125,2025-09-25,2025-10-10,2025-10-24,,
688222,成都先导,WATCH_CANDIDATE,observe,2025-09-18,2025-09-19,25.25,25.48,73.81,SPRINT_MA20_SUPPORT,MA20,0.001256,single_day_surge,new_120d_high,-0.133861,-0.039208,-0.070495,-0.080792,2025-09-25,2025-10-10,2025-10-24,,
688256,寒武纪,WATCH_CANDIDATE,observe,2025-09-18,2025-09-19,933.22,952.68,76.58,SPRINT_MA20_SUPPORT,MA20,0.030343,ret_20d,new_120d_high,-0.145271,-0.003815,-0.10422,0.095647,2025-09-25,2025-10-10,2025-10-24,,HIGH_10D_VOLATILITY
688295,中复神鹰,WATCH_CANDIDATE,observe,2025-09-18,2025-09-19,26.567,26.567,67.09,SPRINT_MA20_SUPPORT,MA20,0.028513,single_day_surge,new_120d_high,-0.056461,0.025219,0.039899,-0.020702,2025-09-25,2025-10-10,2025-10-24,,
688025,杰普特,WATCH_CANDIDATE,observe,2025-09-25,2025-09-26,150.58,150.22,72.03,SPRINT_MA20_SUPPORT,MA20,0.008374,ret_50d,new_120d_high,-0.155466,-0.102802,-0.128171,0.023443,2025-10-10,2025-10-17,2025-10-31,,
688059,华锐精密,WATCH_CANDIDATE,observe,2025-09-25,2025-09-26,77.28,76.72,70.67,SPRINT_MA20_SUPPORT,MA20,0.030051,single_day_surge,new_120d_high,-0.101967,-0.023033,-0.024198,0.083075,2025-10-10,2025-10-17,2025-10-31,,
688234,天岳先进,WATCH_CANDIDATE,observe,2025-09-25,2025-09-26,84.42,84.82,74.09,SPRINT_MA20_SUPPORT,MA20,0.056361,ret_20d,new_120d_high,-0.174366,-0.067756,-0.151267,-0.172353,2025-10-10,2025-10-17,2025-10-31,,
688291,金橙子,WATCH_CANDIDATE,observe,2025-09-25,2025-09-26,35.7,35.7,54.83,SPRINT_MA20_SUPPORT,MA20,0.024034,single_day_surge,new_120d_high,-0.121569,-0.057423,-0.116807,-0.105322,2025-10-10,2025-10-17,2025-10-31,,
688499,利元亨,WATCH_CANDIDATE,observe,2025-09-25,2025-09-26,70.35,71.16,71.66,SPRINT_MA20_SUPPORT,MA20,0.025077,ret_20d,new_120d_high,-0.181521,-0.122957,-0.177825,-0.120824,2025-10-10,2025-10-17,2025-10-31,,
688567,孚能科技,WATCH_CANDIDATE,observe,2025-09-25,2025-09-26,20.42,20.4,74.91,SPRINT_MA20_SUPPORT,MA20,0.00299,ret_50d,new_120d_high,-0.184623,-0.098923,-0.179726,-0.125857,2025-10-10,2025-10-17,2025-10-31,,
688433,华曙高科,WATCH_CANDIDATE,observe,2025-10-09,2025-10-10,52.129,52.339,72.64,SPRINT_MA20_SUPPORT,MA20,0.01817,ret_50d,new_120d_high,-0.132939,0.044505,-0.061194,0.008249,2025-10-16,2025-10-23,2025-11-06,,
002463,沪电股份,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,66.5,72.26,63.91,SPRINT_MA20_SUPPORT,MA20,0.020274,ret_50d,new_120d_high,-0.045113,-0.042556,0.09188,0.036692,2025-10-17,2025-10-24,2025-11-07,,
601138,工业富联,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,60.67,66.08,67.9,SPRINT_MA20_SUPPORT,MA20,0.057188,ret_20d,new_120d_high,-0.041207,-0.016318,0.103016,0.192847,2025-10-17,2025-10-24,2025-11-07,,
688017,绿的谐波,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,160.0,173.0,73.18,SPRINT_MA20_SUPPORT,MA20,0.00628,single_day_surge,new_120d_high,-0.068187,-0.04625,-0.003125,-0.021687,2025-10-17,2025-10-24,2025-11-07,,
688160,步科股份,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,89.55,95.01,61.75,SPRINT_MA20_SUPPORT,MA20,0.019219,single_day_surge,new_120d_high,-0.090006,-0.087996,-0.049693,0.05751,2025-10-17,2025-10-24,2025-11-07,,
