code,name,board,board_label,candidate_type,classification,signal_date,entry_date,entry_model,signal_close,entry_price,total_score,support_status,main_support_ma,main_support_distance,strength_trigger,high_trigger,max_drawdown,return_5d,return_10d,return_20d,exit_date_5d,exit_date_10d,exit_date_20d
688619,罗普特,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-11,2025-09-12,NEXT_OPEN,16.46,16.73,50.45,SPRINT_MA50_TESTING,MA50,0.059174,single_day_surge,new_120d_high,-0.148834,-0.069337,-0.104603,-0.065152,2025-09-18,2025-09-25,2025-10-17
688610,埃科光电,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-12,2025-09-15,NEXT_OPEN,67.37,67.46,72.29,SPRINT_MA20_SUPPORT,MA20,0.040975,ret_20d,new_120d_high,-0.018529,0.034687,0.108953,0.030537,2025-09-19,2025-09-26,2025-10-20
688612,威迈斯,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-12,2025-09-15,NEXT_OPEN,38.992,39.062,70.67,SPRINT_MA20_SUPPORT,MA20,0.03393,ret_50d,new_120d_high,-0.040449,-0.005888,-0.001536,-0.0192,2025-09-19,2025-09-26,2025-10-20
688063,派能科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-18,2025-09-19,NEXT_OPEN,58.339,58.109,74.88,SPRINT_MA20_SUPPORT,MA20,0.023783,ret_20d,new_120d_high,-0.029772,0.024437,0.17949,0.117538,2025-09-25,2025-10-10,2025-10-24
688176,亚虹医药,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-18,2025-09-19,NEXT_OPEN,11.13,11.2,48.16,SPRINT_MA50_TESTING,MA50,0.056819,single_day_surge,new_120d_high,-0.135714,-0.035714,-0.091964,-0.125,2025-09-25,2025-10-10,2025-10-24
688222,成都先导,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-18,2025-09-19,NEXT_OPEN,25.48,25.25,73.81,SPRINT_MA20_SUPPORT,MA20,0.001256,single_day_surge,new_120d_high,-0.133861,-0.039208,-0.070495,-0.080792,2025-09-25,2025-10-10,2025-10-24
688256,寒武纪,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-18,2025-09-19,NEXT_OPEN,952.68,933.22,76.58,SPRINT_MA20_SUPPORT,MA20,0.030343,ret_20d,new_120d_high,-0.145271,-0.003815,-0.10422,0.095647,2025-09-25,2025-10-10,2025-10-24
688295,中复神鹰,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-18,2025-09-19,NEXT_OPEN,26.567,26.567,67.09,SPRINT_MA20_SUPPORT,MA20,0.028513,single_day_surge,new_120d_high,-0.056461,0.025219,0.039899,-0.020702,2025-09-25,2025-10-10,2025-10-24
688025,杰普特,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-25,2025-09-26,NEXT_OPEN,150.22,150.58,72.03,SPRINT_MA20_SUPPORT,MA20,0.008374,ret_50d,new_120d_high,-0.155466,-0.102802,-0.128171,0.023443,2025-10-10,2025-10-17,2025-10-31
688059,华锐精密,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-25,2025-09-26,NEXT_OPEN,76.72,77.28,70.67,SPRINT_MA20_SUPPORT,MA20,0.030051,single_day_surge,new_120d_high,-0.101967,-0.023033,-0.024198,0.083075,2025-10-10,2025-10-17,2025-10-31
688234,天岳先进,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-25,2025-09-26,NEXT_OPEN,84.82,84.42,74.09,SPRINT_MA20_SUPPORT,MA20,0.056361,ret_20d,new_120d_high,-0.174366,-0.067756,-0.151267,-0.172353,2025-10-10,2025-10-17,2025-10-31
688291,金橙子,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-25,2025-09-26,NEXT_OPEN,35.7,35.7,54.83,SPRINT_MA20_SUPPORT,MA20,0.024034,single_day_surge,new_120d_high,-0.121569,-0.057423,-0.116807,-0.105322,2025-10-10,2025-10-17,2025-10-31
688499,利元亨,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-25,2025-09-26,NEXT_OPEN,71.16,70.35,71.66,SPRINT_MA20_SUPPORT,MA20,0.025077,ret_20d,new_120d_high,-0.181521,-0.122957,-0.177825,-0.120824,2025-10-10,2025-10-17,2025-10-31
688567,孚能科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-09-25,2025-09-26,NEXT_OPEN,20.4,20.42,74.91,SPRINT_MA20_SUPPORT,MA20,0.00299,ret_50d,new_120d_high,-0.184623,-0.098923,-0.179726,-0.125857,2025-10-10,2025-10-17,2025-10-31
688433,华曙高科,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-09,2025-10-10,NEXT_OPEN,52.339,52.129,72.64,SPRINT_MA20_SUPPORT,MA20,0.01817,ret_50d,new_120d_high,-0.132939,0.044505,-0.061194,0.008249,2025-10-16,2025-10-23,2025-11-06
002335,科华数据,SZ_MAIN,深主板,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,NEXT_OPEN,47.23,44.31,75.02,SPRINT_MA20_SUPPORT,MA20,0.009771,ret_20d,new_120d_high,-0.192282,-0.061386,0.019409,-0.125705,2025-10-17,2025-10-24,2025-11-07
002463,沪电股份,SZ_MAIN,深主板,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,NEXT_OPEN,72.26,66.5,63.91,SPRINT_MA20_SUPPORT,MA20,0.020274,ret_50d,new_120d_high,-0.045113,-0.042556,0.09188,0.036692,2025-10-17,2025-10-24,2025-11-07
601138,工业富联,SH_MAIN,沪主板,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,NEXT_OPEN,66.08,60.67,67.9,SPRINT_MA20_SUPPORT,MA20,0.057188,ret_20d,new_120d_high,-0.041207,-0.016318,0.103016,0.192847,2025-10-17,2025-10-24,2025-11-07
688017,绿的谐波,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,NEXT_OPEN,173.0,160.0,73.18,SPRINT_MA20_SUPPORT,MA20,0.00628,single_day_surge,new_120d_high,-0.068187,-0.04625,-0.003125,-0.021687,2025-10-17,2025-10-24,2025-11-07
688160,步科股份,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,NEXT_OPEN,95.01,89.55,61.75,SPRINT_MA20_SUPPORT,MA20,0.019219,single_day_surge,new_120d_high,-0.090006,-0.087996,-0.049693,0.05751,2025-10-17,2025-10-24,2025-11-07
688255,凯尔达,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,NEXT_OPEN,38.675,36.825,56.63,SPRINT_MA20_SUPPORT,MA20,0.023581,single_day_surge,new_120d_high,-0.073048,-0.055126,-0.017379,-0.065988,2025-10-17,2025-10-24,2025-11-07
688515,裕太微,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-10,2025-10-13,NEXT_OPEN,114.94,111.0,66.23,SPRINT_MA20_SUPPORT,MA20,0.000705,single_day_surge,new_120d_high,-0.054595,-0.049459,0.023243,-0.041802,2025-10-17,2025-10-24,2025-11-07
000737,北方铜业,SZ_MAIN,深主板,WATCH_CANDIDATE,observe,2025-10-17,2025-10-20,NEXT_OPEN,15.69,15.9,75.65,SPRINT_MA20_SUPPORT,MA20,0.024251,ret_20d,new_120d_high,-0.100629,0.0,-0.011321,-0.063522,2025-10-24,2025-10-31,2025-11-14
688008,澜起科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-17,2025-10-20,NEXT_OPEN,137.802,141.782,80.86,SPRINT_MA20_SUPPORT,MA20,0.021952,ret_50d,new_120d_high,-0.145378,0.030103,-0.038665,-0.145378,2025-10-24,2025-10-31,2025-11-14
688308,欧科亿,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-17,2025-10-20,NEXT_OPEN,23.98,24.7,66.31,SPRINT_MA20_SUPPORT,MA20,0.025938,single_day_surge,new_120d_high,-0.006883,0.109312,0.226721,0.225911,2025-10-24,2025-10-31,2025-11-14
688469,芯联集成,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-22,2025-10-23,NEXT_OPEN,6.39,6.35,73.46,SPRINT_MA20_SUPPORT,MA20,0.01338,single_day_surge,new_120d_high,-0.055118,0.025197,-0.045669,0.085039,2025-10-29,2025-11-05,2025-11-19
002156,通富微电,SZ_MAIN,深主板,KEY_CANDIDATE,highlight,2025-10-24,2025-10-27,NEXT_OPEN,41.799,43.069,73.64,SPRINT_MA10_SUPPORT,MA10,0.008756,ret_50d,new_120d_high,-0.186909,-0.016253,-0.068959,-0.183427,2025-10-31,2025-11-07,2025-11-21
002273,水晶光电,SZ_MAIN,深主板,KEY_CANDIDATE,highlight,2025-10-24,2025-10-27,NEXT_OPEN,25.04,25.57,47.99,SPRINT_MA5_SUPPORT,MA5,0.029952,single_day_surge,new_120d_high,-0.131404,-0.030896,-0.046148,-0.128666,2025-10-31,2025-11-07,2025-11-21
002475,立讯精密,SZ_MAIN,深主板,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,NEXT_OPEN,63.75,65.72,66.68,SPRINT_MA20_SUPPORT,MA20,0.038627,single_day_surge,new_120d_high,-0.199026,-0.043822,-0.090992,-0.198265,2025-10-31,2025-11-07,2025-11-21
600111,北方稀土,SH_MAIN,沪主板,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,NEXT_OPEN,51.06,51.17,62.93,SPRINT_MA20_SUPPORT,MA20,0.010194,single_day_surge,new_120d_high,-0.140903,-0.009576,-0.059214,-0.140707,2025-10-31,2025-11-07,2025-11-21
600760,中航沈飞,SH_MAIN,沪主板,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,NEXT_OPEN,62.745,63.525,41.44,SPRINT_MA50_TESTING,MA50,0.015361,single_day_surge,new_120d_high,-0.102794,-0.044864,-0.064699,-0.094923,2025-10-31,2025-11-07,2025-11-21
688019,安集科技,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,NEXT_OPEN,169.939,174.0,67.72,SPRINT_MA20_SUPPORT,MA20,0.043713,single_day_surge,new_120d_high,-0.183994,-0.132098,-0.125374,-0.183201,2025-10-31,2025-11-07,2025-11-21
688029,南微医学,KCB,科创板,KEY_CANDIDATE,highlight,2025-10-24,2025-10-27,NEXT_OPEN,87.337,87.607,54.79,SPRINT_MA5_SUPPORT,MA5,0.012297,single_day_surge,new_120d_high,-0.142911,-0.065292,-0.082984,-0.136975,2025-10-31,2025-11-07,2025-11-21
688035,德邦科技,KCB,科创板,KEY_CANDIDATE,highlight,2025-10-24,2025-10-27,NEXT_OPEN,52.342,53.082,64.23,SPRINT_MA5_SUPPORT,MA5,0.027282,single_day_surge,new_120d_high,-0.182171,-0.036736,-0.073471,-0.181417,2025-10-31,2025-11-07,2025-11-21
688061,灿瑞科技,KCB,科创板,KEY_CANDIDATE,highlight,2025-10-24,2025-10-27,NEXT_OPEN,35.8,35.93,53.51,SPRINT_MA5_SUPPORT,MA5,0.016816,single_day_surge,new_120d_high,-0.146952,-0.022544,-0.051767,-0.142499,2025-10-31,2025-11-07,2025-11-21
688147,微导纳米,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,NEXT_OPEN,53.197,53.867,66.96,SPRINT_MA20_SUPPORT,MA20,0.018225,single_day_surge,new_120d_high,-0.125494,-0.076856,-0.056621,-0.012067,2025-10-31,2025-11-07,2025-11-21
688403,汇成股份,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,NEXT_OPEN,17.32,18.53,73.84,SPRINT_MA20_SUPPORT,MA20,0.006438,ret_50d,new_120d_high,-0.30707,-0.113869,-0.182947,-0.305451,2025-10-31,2025-11-07,2025-11-21
688538,和辉光电,KCB,科创板,KEY_CANDIDATE,highlight,2025-10-24,2025-10-27,NEXT_OPEN,2.73,2.73,59.69,SPRINT_MA5_SUPPORT,MA5,0.00293,single_day_surge,new_120d_high,-0.051282,-0.003663,0.025641,-0.043956,2025-10-31,2025-11-07,2025-11-21
688550,瑞联新材,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,NEXT_OPEN,49.5,51.17,55.59,SPRINT_MA20_SUPPORT,MA20,0.020576,single_day_surge,new_120d_high,-0.146961,-0.066445,-0.101817,-0.138167,2025-10-31,2025-11-07,2025-11-21
688627,精智达,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,NEXT_OPEN,164.597,169.777,76.42,SPRINT_MA20_SUPPORT,MA20,0.00569,ret_50d,new_120d_high,-0.032454,0.01178,0.111794,0.053011,2025-10-31,2025-11-07,2025-11-21
688786,悦安新材,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-24,2025-10-27,NEXT_OPEN,24.833,24.833,61.97,SPRINT_MA20_SUPPORT,MA20,0.011867,single_day_surge,new_120d_high,-0.140257,0.025853,-0.056699,-0.134217,2025-10-31,2025-11-07,2025-11-21
688012,中微公司,KCB,科创板,WATCH_CANDIDATE,observe,2025-10-27,2025-10-28,NEXT_OPEN,198.0,195.074,66.81,SPRINT_MA20_SUPPORT,MA20,0.044755,ret_50d,new_120d_high,-0.091483,-0.045106,0.087454,-0.068502,2025-11-03,2025-11-10,2025-11-24
